"AN.57243","1.0","1","174.0","42.0","1470.0","580.0",,,,"47.0","6.0"
"AN.57244","2.0","2","167.0","20.0","1230.0","595.0","6.0","10.0","50.0","35.0","6.0"
"AN.57245","1.0","1","179.0","31.0","1250.0","585.0",,,,"34.0","5.0"
"AN.57246","2.0","4","168.5","19.25","1287.5","607.5","5.6666665","13.333333","51.666668","33.5","6.5"
"AN.57247","2.0","2","169.5","22.0","1205.0","587.5","7.0","0.0","30.0","34.5","6.5"
"AN.57248","2.0","1","177.0","27.0","1250.0","590.0","7.0","0.0","40.0","34.0","5.0"
"AN.57249","1.0","1","186.0","29.0","1280.0","610.0",,,,"34.0","7.0"
"AN.57250","1.0","2","178.5","28.5","1400.0","592.5",,,,"35.0","7.0"
"AN.57251","2.0","1","176.0","24.0","1230.0","585.0","6.0","5.0","50.0","32.0","7.0"
"AN.57252","2.0","1","170.0","27.0","1230.0","590.0","6.0","5.0","55.0","34.0","7.0"
"AN.57253","2.0","1","176.0","24.0","1250.0","605.0","7.0","10.0","20.0","33.0","5.0"
"AN.57254","2.0","1","181.0","22.0","1200.0","595.0","5.0","20.0","70.0","32.0","6.0"
"AN.57255","1.0","1","174.0","25.0","1140.0","570.0",,,,"32.0","6.0"
"AN.57256","1.0","1","179.0","27.0","1230.0","605.0",,,,"33.0","5.0"
"AN.57257","1.0","2","177.5","29.5","1305.0","580.0",,,,"35.0","7.0"
"AN.57258","2.0","1","177.0","13.0","1180.0","615.0",,,,"34.0","7.0"
"AN.57264","1.0","4","174.0","27.0","1255.0","586.25",,,,"35.0","6.0"
"AN.57265","2.0","1","177.0","26.0","1160.0","595.0","6.0","5.0","80.0","33.0","6.0"
"AN.57266","2.0","1","177.0","24.0","1220.0","590.0","7.0","0.0","30.0","33.0","6.0"
"AN.57267","1.0","1","172.0","28.0","1310.0","585.0",,,,"33.0","6.0"
"AN.57268","1.0","1","174.0","23.0","1560.0","580.0",,,,"33.0","6.0"
"AN.57269","2.0","1","170.0","21.0","1200.0","610.0","5.0","10.0","70.0","33.0","6.0"
"AN.57271","2.0","2","172.5","11.5","1220.0","627.5","5.0","20.0","75.0","27.0","7.0"
"AN.57275","2.0","1","176.0","31.0","1170.0","605.0","7.0","0.0","30.0","37.0","6.0"
"AN.57280","1.0","2","179.0","28.5","1387.5","595.0",,,,"36.0","7.0"
"AN.57281","2.0","1","170.0","17.0","1200.0","600.0","5.0","20.0","60.0","35.0","7.0"
"AN.57282","1.0","1","173.0","26.0","1330.0","580.0",,,,"35.0","6.0"
"AN.57283","2.0","1","174.0","27.0","1230.0","570.0","5.0","15.0","70.0","34.0","6.0"
"AN.57284","2.0","1","176.0","17.0","1190.0","620.0","5.0","15.0","55.0","31.0","7.0"
"AN.57285","1.0","1","172.0","26.0","1180.0","595.0",,,,"32.0","7.0"
"AN.57286","2.0","1","168.0","18.0","1120.0","590.0","7.0","0.0","40.0","32.0","7.0"
"AN.57287","2.0","1","168.0","9.0","1170.0","630.0","6.0","5.0","60.0","33.0","5.0"
"AN.57288","2.0","1","171.0","9.0","1275.0","620.0","5.0","15.0","40.0","28.0","7.0"
"AN.57289","2.0","2","168.5","17.5","1175.0","612.5","7.0","0.0","60.0","34.5","7.0"
"AN.57290","2.0","2","176.25","18.0","1190.0","597.5","5.0","15.0","40.0","30.5","6.5"
"AN.57291","2.0","1","170.0","24.5","1180.0","605.0","7.0","0.0","20.0","34.0","7.0"
"AN.57292","1.0","1","172.0","27.0","1180.0","610.0",,,,"32.0","6.0"
"AN.57293","2.0","3","180.33333","20.833334","1262.2222","606.1111","6.0","15.0","50.0","36.0","6.6666665"
"AN.57294","2.0","3","172.33333","15.0","1175.0","610.0",,,,"37.5","6.0"
"AN.57297","2.0","1","174.0","22.5","1230.0","610.0","7.0","0.0","30.0","33.0","6.0"
"AN.57299","2.0","2","180.0","14.25","1285.0","627.5","5.0",,"90.0","35.0","7.0"
"AN.57300","2.0","2","174.75","17.25","1252.5","611.25","6.5","0.0","40.0","31.0","7.0"
"AN.57313","2.0","1","169.0","12.0","1230.0","610.0","5.0","25.0","70.0","28.0","7.0"
"AN.57316","1.0","1","168.0","20.0","1130.0","615.0",,,,"26.0","7.0"
"AN.57318","1.0","1","169.0","30.0","1310.0","585.0",,,,"36.0","6.0"
"AN.57322","1.0","1","173.0","23.0","1220.0","595.0",,,,"29.0","7.0"
"AN.57328","2.0","1","180.0","28.0","1290.0","605.0","7.0","0.0","30.0","37.0","7.0"
"AN.57337","1.0","1","169.0","32.0","1380.0","600.0",,,,"38.0","6.0"
"AN.57381","2.0","1","174.0","29.0","1260.0","610.0","5.0","15.0","70.0","40.0","7.0"
"AN.57389","2.0","1","168.0","14.5","1210.0","615.0","6.0","5.0","70.0",,
"AN.57394","1.0","2","170.5","30.5","1375.0","590.0",,,,"35.0","7.0"
"AN.57396","2.0","1","168.0","41.0","1150.0","580.0","4.0","30.0","45.0",,
"AN.57398","2.0","1","172.0","26.0","1180.0","640.0","5.0","10.0","70.0",,
"AN.57399","2.0","1","172.0","17.0","1140.0","605.0","7.0","0.0","30.0",,
"AN.57400","2.0","2","173.0","14.75","1245.0","617.5","5.0","15.0","40.0","31.0","6.0"
"AN.57464","2.0","2","173.0","22.5","1220.0","615.0","5.5","7.5","55.0","35.0","7.0"
"AN.57496","2.0","2","170.0","17.75","1205.0","602.5","7.0","0.0","80.0","38.0","6.5"
"AN.57501","2.0","1","175.0","23.0","1280.0","610.0","4.0","35.0","50.0","39.0","7.0"
"AN.57502","1.0","1","176.0","29.0","1210.0","600.0",,,,"36.0","6.0"
"AN.57504","1.0","1","168.0","30.0","1130.0","570.0",,,,"37.0","7.0"
"AN.57505","2.0","4","170.5","13.0","1182.5","582.5","7.0","1.6666666","41.666668","28.75","7.25"
"AN.57506","2.0","5","175.0","21.0","1162.0","601.0","6.3333335","3.3333333","60.0","32.5","6.5"
"AN.57507","1.0","2","179.5","29.0","1365.0","605.0",,,,"35.0","7.5"
"AN.57508","1.0","1","173.0","30.0","1230.0","580.0",,,,"36.0","6.0"
"AN.57509","2.0","3","184.16667","22.666666","1320.0","623.3333","6.0","3.6666667","63.333332","36.5","6.0"
"AN.57510","2.0","1","180.0","24.0","1200.0","580.0","7.0","0.0","50.0","38.0","7.0"
"AN.57513","1.0","1","177.0","44.0","1500.0","590.0",,,,"48.0","5.0"
"AN.57514","2.0","1","179.0","27.0","1380.0","600.0","4.0","70.0","60.0","40.0","6.0"
