"AN.57008","2007.0","1.0","1645.0","590.0","183.0","16.0",,,,"25.0","8.0","6.0","0","0","5.0","1"
"AN.57009","2007.0","1.0","1455.0","580.0","166.0","20.0",,,,"28.0","5.0","5.0","0","0","5.0","1"
"AN.57010","2007.0","1.0","1415.0","595.0","188.0","16.0",,,,"24.0","7.0","7.0","2","0","6.0","2"
"AN.57011","2007.0","1.0","1440.0","590.0","169.0","26.0",,,,"30.0","6.0","5.0","1","0","6.0","2"
"AN.57012","2007.0","1.0","1510.0","580.0","176.0","24.0",,,,"31.0","6.0","5.0","1","0","5.0","1"
"AN.57013","2007.0","1.0","1470.0","590.0","177.0","24.0",,,,"30.0","6.0","6.0","1","0","5.0","1"
"AN.57014","2007.0","1.0","1420.0","560.0","176.0","24.0",,,,"30.0","6.0","6.0","0","0","5.0","1"
"AN.57015","2007.0","1.0","1350.0","600.0","174.0","23.0",,,,"30.0","7.0","6.0","1","0","5.0","1"
"AN.57017","2007.0","1.0","1500.0","615.0","171.0","26.0",,,,"30.0","6.0","6.0","0","1","5.0","1"
"AN.57017","2008.0","1.0","1440.0","610.0","164.0","22.0",,,,"30.0","6.0","6.0","2","0","7.0","2"
"AN.57018","2007.0","1.0","1480.0","590.0","174.0","24.0",,,,"31.0","6.0","4.0","0","1","5.0","1"
"AN.57018","2009.0","1.0","1280.0","602.5","174.0","13.0",,,,"22.0","7.0","6.0","2","0","9.0","2"
"AN.57019","2007.0","1.0","1440.0","580.0","168.0","24.0",,,,"30.0","6.0","6.0",,"1","5.0","1"
"AN.57021","2007.0","1.0","1405.0","585.0","181.0","24.0",,,,"30.0","7.0","6.0",,"0","5.0","1"
"AN.57022","2007.0","1.0","1495.0","585.0","172.0","20.0",,,,"28.0","6.0","6.0",,"0","6.0","2"
"AN.57023","2007.0","1.0","1415.0","595.0","170.0","25.0",,,,"31.0","6.0","5.0",,"1","5.0","1"
"AN.57024","2007.0","1.0","1545.0","605.0","168.0","24.0",,,,"30.0","7.0","7.0",,"0","6.0","2"
"AN.57025","2007.0","1.0","1580.0","585.0","170.0","21.0",,,,"30.0","7.0","7.0",,"0","5.0","1"
"AN.57026","2007.0","2.0","1155.0","620.0","179.0","26.0","7","0","40",,,,"0","0","5.0","1"
"AN.57027","2007.0","2.0","1150.0","570.0","174.0","26.0","7","0","50","48.0","5.0","5.0",,"0","5.0","1"
"AN.57028","2007.0","1.0","1535.0","585.0","182.0","25.0",,,,"31.0","7.0","1.0","0","0","6.0","2"
"AN.57029","2007.0","1.0","1480.0","615.0","177.0","23.0",,,,"30.0","6.0","5.0","0","0","5.0","1"
"AN.57030","2007.0","1.0","1435.0","605.0","174.0","23.0",,,,"32.0","7.0","7.0","0","0","5.0","1"
"AN.57031","2007.0","1.0","1475.0","560.0","175.0","25.0",,,,"30.0","6.0","4.0","0","0","5.0","1"
"AN.57032","2007.0","1.0","1475.0","575.0","166.0","22.0",,,,"30.0","6.0","3.0","1","0","4.0","1"
"AN.57033","2007.0","1.0","1440.0","600.0","175.0","24.0",,,,"32.0","6.0","6.0","0","0","5.0","1"
"AN.57034","2007.0","1.0","1445.0","570.0","173.0","24.0",,,,"32.0","5.0","5.0","0","1","6.0","2"
"AN.57034","2008.0","1.0","1570.0","585.0","171.0","25.0",,,,"32.0","6.0","6.0","1","0","8.0","2"
"AN.57035","2007.0","1.0","1485.0","570.0","176.0","23.0",,,,"30.0","7.0","7.0","0","1","6.0","2"
"AN.57035","2008.0","1.0","1530.0","605.0","177.0","22.0",,,,"31.0","8.0","5.0",,"0","8.0","2"
"AN.57037","2007.0","1.0","1220.0","570.0","165.0","29.0",,,,"37.0","4.0","1.0","0","0","5.0","1"
"AN.57041","2007.0","2.0","1230.0","595.0","175.0","18.0","7","0","30","28.0","6.0","6.0",,"1","5.0","1"
"AN.57041","2008.0","2.0","1200.0","592.5","176.5","24.0","7","0",,"30.0","8.0","8.0",,"0","7.0","2"
"AN.57044","2007.0","1.0","1335.0","605.0","178.0","20.0",,,,,,,,"0","5.0","1"
"AN.57045","2007.0","2.0","1220.0","600.0","169.0","17.0","5","15","80","26.0","7.0","5.0","0","0","6.0","2"
"AN.57046","2007.0","2.0","1225.0","610.0","168.0","19.0","7","0","40","30.0","6.0","5.0","0","0","6.0","2"
"AN.57047","2007.0","2.0","1250.0","605.0","178.0","19.0","7","0","30","27.0","7.0","7.0","0","0","5.0","1"
"AN.57048","2007.0","2.0","1240.0","595.0","167.0","13.0","4","35","60","26.0","6.0","5.0","0","1","5.0","1"
"AN.57048","2008.0","2.0","1190.0","585.0","167.0","17.0",,,,"29.0","8.0","8.0","0","1","7.0","2"
"AN.57049","2007.0","1.0","1370.0","595.0","178.0","19.0",,,,"26.0","6.0","5.0","0","0","6.0","2"
"AN.57060","2007.0","1.0","1220.0","575.0","173.0","22.0",,,,"29.0","6.0","6.0",,"0","5.0","1"
"AN.57061","2007.0","2.0","1285.0","595.0","179.0","24.0","5","25","60","30.0","7.0","6.0",,"1","5.0","1"
"AN.57062","2007.0","2.0","1325.0","600.0","175.0","22.0","7","0","30","30.0","6.0","6.0",,"0","5.0","1"
"AN.57063","2008.0","1.0","1480.0","600.0","178.0","22.0",,,,"32.0","6.0","5.0",,"0","5.0","1"
"AN.57064","2008.0","2.0","1290.0","590.0","176.0","28.0",,,,"37.0","6.0","6.0",,"0","5.0","1"
"AN.57075","2007.0","2.0","1255.0","590.0","169.0","24.0","6","3","20","30.0","7.0","7.0",,"0","5.0","1"
"AN.57076","2007.0","2.0","1240.0","600.0","178.0","20.0","7","0","70","30.0","7.0","4.0",,"0","5.0","1"
"AN.57083","2007.0","1.0","1305.0","570.0","167.0","24.0",,,,"31.0","6.0","6.0",,"0","5.0","1"
"AN.57084","2007.0","2.0","1235.0","595.0","169.0","20.0","7","0","30","31.0","6.0","6.0",,"0","5.0","1"
"AN.57085","2007.0","1.0","1315.0","595.0","176.0","28.0",,,,"32.0","6.0","6.0","1","0","6.0","2"
"AN.57086","2007.0","2.0","1190.0","595.0","176.0","24.0","7","0","40","31.0","6.0","4.0","0","1","5.0","1"
"AN.57086","2009.0","2.0","1210.0","620.0","176.0","29.0","5",,"50","38.0","7.0","7.0","0","0","9.0","2"
"AN.57087","2007.0","2.0","1195.0","575.0","171.0","26.0","7","0","50","32.0","6.0","6.0","1","0","5.0","1"
"AN.57088","2007.0","2.0","1200.0","590.0","174.0","22.0","6","5","50","30.0","6.0","6.0","0","1","5.0","1"
"AN.57088","2008.0","2.0","1180.0","595.0","174.0","22.0",,,,"37.0","6.0","6.0","3","0","7.0","2"
"AN.57089","2007.0","2.0","1305.0","600.0","183.0","23.0","4","50","70","32.0","6.0","5.0","0","1","5.0","1"
"AN.57089","2008.0","2.0","1320.0","600.0","184.0","26.0",,,,"41.0","6.0","4.0","0","0","7.0","2"
"AN.57090","2007.0","2.0","1270.0","605.0","176.0","24.0","6","5","70","31.0","6.0","4.0","0","0","5.0","1"
"AN.57092","2008.0","2.0","1180.0","625.0","169.0","24.0","6","5","30","34.0","7.0","5.0",,"0","7.0","2"
"AN.57093","2007.0","2.0","1210.0","605.0","176.0","13.0","7","0","45","30.0","7.0","6.0","1","1","5.0","1"
"AN.57094","2007.0","2.0","1300.0","595.0","177.0","15.0","7","0","20","30.0","6.0","4.0","0","1","5.0","1"
"AN.57094","2008.0","2.0","1270.0","595.0","170.0","14.0","7","0","50","28.0","6.0","6.0","1","1","7.0","2"
"AN.57094","2009.0","2.0","1270.0","620.0","176.0","8.0","7","0","30","24.0","7.0","7.0","1","1","9.0","2"
"AN.57094","2010.0","2.0","1250.0","600.0","174.0","12.0",,,,"31.0","6.0","6.0","1","1","11.0","2"
"AN.57094","2011.0","2.0","1260.0","610.0","177.0","4.0","7","0","30","25.0","7.0","7.0",,"1","13.0","2"
"AN.57095","2007.0","2.0","1200.0","615.0","173.0","21.0","7","0","30","31.0","6.0","5.0","1","0","5.0","1"
"AN.57096","2007.0","2.0","1310.0","600.0","178.0","23.0","6","5","60","30.0","6.0","5.0","1","0","5.0","1"
"AN.57098","2007.0","1.0","1180.0","580.0","178.0","24.0",,,,"31.0","6.0","3.0",,"0","5.0","1"
"AN.57099","2007.0","2.0","1180.0","615.0","176.0","22.0","7","0","50","31.0","7.0","6.0",,"0","5.0","1"
"AN.57100","2007.0","2.0","1210.0","615.0","184.0","23.0","7","0","20","31.0","6.0","3.0",,"0","5.0","1"
